source_row_index,scenario_id,window_start,window_end,split,family_probability_provenance,family_probability_neris,family_probability_rbot,family_probability_virut,family_probability_donbot,family_probability_sogou,family_probability_murlo,family_probability_nsis_agent,packet_behavior_packet_count,packet_behavior_byte_count,packet_behavior_packets_per_second,packet_behavior_bytes_per_second,packet_behavior_unique_src_ips,packet_behavior_unique_dst_ips,packet_behavior_unique_src_ports,packet_behavior_unique_dst_ports,packet_behavior_tcp_count,packet_behavior_udp_count,packet_behavior_icmp_count,packet_behavior_other_protocol_count,packet_behavior_packet_size_mean,packet_behavior_packet_size_std,packet_behavior_packet_size_min,packet_behavior_packet_size_max,packet_behavior_packet_size_median,packet_behavior_packet_size_p25,packet_behavior_packet_size_p75,packet_behavior_iat_mean,packet_behavior_iat_std,packet_behavior_iat_min,packet_behavior_iat_max,packet_behavior_iat_median,packet_behavior_syn_count,packet_behavior_ack_count,packet_behavior_rst_count,packet_behavior_fin_count,packet_behavior_psh_count,packet_behavior_urg_count,packet_behavior_forward_packet_count,packet_behavior_backward_packet_count,packet_behavior_forward_byte_count,packet_behavior_backward_byte_count,packet_behavior_unique_5tuple_count,packet_behavior_flow_count,packet_behavior_mean_flow_duration,packet_behavior_packets_per_flow_mean,packet_behavior_bytes_per_flow_mean,packet_behavior_forward_backward_packet_ratio,packet_behavior_forward_backward_byte_ratio,packet_behavior_syn_ack_ratio,packet_behavior_tcp_fraction,packet_behavior_udp_fraction,packet_behavior_icmp_fraction,packet_behavior_unique_dst_ports_per_src_ip,packet_behavior_unique_dst_ips_per_src_ip,packet_behavior_unique_src_ips_per_dst_ip,packet_behavior_port_diversity,packet_behavior_destination_diversity
0,CTU42,2011-08-10T09:04:00+00:00,2011-08-10T09:05:00+00:00,train,in_sample_training_prediction,0.5957943331374737,0.1347733669226072,0.12448894501155353,0.0121056238998577,0.007646319127038543,0.11630600788129977,0.008885404020169563,71,9229,1.1833333333333331,153.81666666666666,3,6,7,7,11,56,0,4,129.98591549295776,84.87447117929331,60,503,110.0,92.0,110.0,0.3504271302904401,0.8136045475771264,0.0,5.318549871444702,0.0002906322479248,3,9,2,0,3,0,62,5,8094.0,895.0,5,5,4.958769273757935,13.4,1797.8,12.4,9.043575418994411,0.3333333333333333,0.1549295774647887,0.7887323943661971,0.0,2.333333333333333,2.0,0.5,7,6
1,CTU42,2011-08-10T09:06:00+00:00,2011-08-10T09:07:00+00:00,train,in_sample_training_prediction,0.629670007011876,0.018727629339670968,0.09594324654271943,0.016401645682178872,0.05705600758192296,0.13443694180056917,0.047764522041062685,788,416416,13.133333333333333,6940.266666666666,12,13,29,29,735,53,0,0,528.4467005076142,1021.701496361231,60,8814,60.0,60.0,239.0,0.047244819631419,0.2930131686624955,9.5367431640625e-07,7.244325876235962,0.000105857849121,56,695,7,33,95,0,546,242,43894.0,372522.0,22,22,4.290100455284119,35.81818181818182,18928.0,2.256198347107438,0.1178292825658618,0.0805755395683453,0.932741116751269,0.0672588832487309,0.0,2.4166666666666665,1.0833333333333333,0.9230769230769232,29,13
2,CTU42,2011-08-10T09:07:00+00:00,2011-08-10T09:08:00+00:00,train,in_sample_training_prediction,0.8227340649511853,0.028055162915080496,0.052331729284409476,0.039597916096543624,0.005893584854344413,0.04599887533746805,0.005388666560968683,604,218763,10.066666666666666,3646.05,9,29,34,15,598,6,0,0,362.19039735099335,552.0176764138555,60,3126,62.0,60.0,522.0,0.0975012138708314,0.3568311398311867,1.9073486328125e-06,5.989643812179565,0.000133991241455,145,457,4,14,46,0,422,182,40829.0,177934.0,30,30,9.004387776056925,20.133333333333333,7292.1,2.318681318681319,0.229461485719424,0.3172866520787746,0.9900662251655628,0.009933774834437,0.0,1.6666666666666667,3.2222222222222223,0.3103448275862069,15,29
3,CTU42,2011-08-10T09:08:00+00:00,2011-08-10T09:09:00+00:00,train,in_sample_training_prediction,0.7831622335850483,0.023776238576496148,0.08606395284500402,0.036591175370241515,0.0055900330890905885,0.06104147382016791,0.0037748927139515044,526,203147,8.766666666666667,3385.7833333333333,8,24,34,18,520,6,0,0,386.2110266159696,629.4532354511005,60,2798,62.0,60.0,272.25,0.1124545615059988,0.5866678097419674,9.5367431640625e-07,10.71540904045105,0.0001587867736816,133,394,9,24,40,0,342,184,96704.0,106443.0,30,30,5.232570536931356,17.533333333333335,6771.566666666667,1.858695652173913,0.9085050214668884,0.3375634517766497,0.988593155893536,0.0114068441064638,0.0,2.25,3.0,0.3333333333333333,18,24
4,CTU42,2011-08-10T09:09:00+00:00,2011-08-10T09:10:00+00:00,train,in_sample_training_prediction,0.872311797484369,0.005246694947273338,0.06760437306549577,0.00420055599923457,0.007818541207207581,0.030849492861305457,0.011968544435114128,697,319270,11.616666666666667,5321.166666666667,15,24,39,31,628,69,0,0,458.0631276901004,783.4943810151586,60,4623,60.0,60.0,244.0,0.0847482400378961,0.3836089211554733,1.9073486328125e-06,6.0790839195251465,0.0001980066299438,69,569,8,16,51,0,414,283,124153.0,195117.0,29,29,5.479315165815683,24.03448275862069,11009.310344827589,1.4628975265017667,0.6363002711193797,0.1212653778558875,0.9010043041606888,0.0989956958393113,0.0,2.066666666666667,1.6,0.625,31,24
5,CTU42,2011-08-10T09:10:00+00:00,2011-08-10T09:11:00+00:00,train,in_sample_training_prediction,0.9580166292525041,0.008995897751694506,0.011782818181949711,0.001881554673388966,0.0009177340151887626,0.01706317713841363,0.0013421889868604096,580,118497,9.666666666666666,1974.95,25,31,48,43,527,53,0,0,204.30517241379312,346.3908868965382,60,2283,62.0,60.0,76.0,0.1011811348646621,0.4099610824916186,2.86102294921875e-06,3.435177087783813,0.0002748966217041,125,426,33,50,123,0,405,175,51280.0,67217.0,39,39,9.229872330641134,14.871794871794872,3038.3846153846152,2.3142857142857145,0.7629022419923531,0.2934272300469484,0.9086206896551724,0.0913793103448275,0.0,1.72,1.24,0.8064516129032258,43,31
6,CTU42,2011-08-10T09:11:00+00:00,2011-08-10T09:12:00+00:00,train,in_sample_training_prediction,0.7940176943297051,0.02446083134531629,0.11845349870536549,0.011335020673250751,0.0035933684324004405,0.045040870425504774,0.00309871608845704,214,52803,3.566666666666667,880.05,12,21,33,25,198,16,0,0,246.7429906542056,763.3639425022321,60,5894,62.0,60.0,62.0,0.2736952439160414,0.7498105962899417,2.86102294921875e-06,5.619567155838013,0.0002520084381103,68,133,28,10,27,0,154,60,15688.0,37115.0,27,27,6.070718509179574,7.925925925925926,1955.6666666666667,2.566666666666667,0.4226862454533208,0.5112781954887218,0.9252336448598132,0.0747663551401869,0.0,2.083333333333333,1.75,0.5714285714285714,25,21
7,CTU42,2011-08-10T09:12:00+00:00,2011-08-10T09:13:00+00:00,train,in_sample_training_prediction,0.5975346236623565,0.3066560956832157,0.03951640828148105,0.008353715653189146,0.0019052816080142969,0.0444457626700154,0.0015881124417278084,168,11624,2.8,193.7333333333333,13,21,32,24,161,5,2,0,69.19047619047619,37.50776941434813,60,315,62.0,60.0,62.0,0.349862963853482,0.8007713177586524,1.1920928955078125e-06,4.144229173660278,0.0002989768981933,80,86,12,18,18,0,122,44,8459.0,3025.0,23,23,3.270630401113759,7.217391304347826,499.3043478260869,2.772727272727273,2.7963636363636364,0.9302325581395348,0.9583333333333334,0.0297619047619047,0.0119047619047619,1.8461538461538465,1.6153846153846154,0.6190476190476191,24,21
8,CTU42,2011-08-10T09:13:00+00:00,2011-08-10T09:14:00+00:00,train,in_sample_training_prediction,0.8327838080167138,0.008004009071666209,0.10878117901575601,0.005231440876615119,0.017124663190743773,0.015956387701425993,0.012118512127079376,856,468311,14.266666666666667,7805.183333333333,10,17,33,26,833,23,0,0,547.0922897196261,990.761629826677,60,7354,60.0,60.0,263.0,0.0659433392753378,0.3844176124384391,0.0,7.010372161865234,0.0002410411834716,65,718,70,31,140,0,496,360,222619.0,245692.0,24,24,8.399438947439194,35.666666666666664,19512.95833333333,1.3777777777777778,0.9060897383716198,0.0905292479108635,0.9731308411214952,0.0268691588785046,0.0,2.6,1.7,0.5882352941176471,26,17
9,CTU42,2011-08-10T09:14:00+00:00,2011-08-10T09:15:00+00:00,train,in_sample_training_prediction,0.9436160573779755,0.044951397203127415,0.004112950143909005,0.0009528169121657457,0.0004547833239371615,0.005507376039185959,0.0004046189996992009,420,31408,7.0,523.4666666666667,11,36,54,22,401,19,0,0,74.78095238095239,51.30357472969453,60,340,62.0,60.0,62.0,0.1386471170229672,0.3129769654145392,3.814697265625e-06,3.915260076522827,0.0002920627593994,166,240,5,30,86,0,336,84,25262.0,6146.0,45,45,8.87844927046034,9.333333333333334,697.9555555555555,4.0,4.110315652456882,0.6916666666666667,0.9547619047619048,0.0452380952380952,0.0,2.0,3.272727272727273,0.3055555555555556,22,36
