timestamp,window_end,dataset_source,packet_count,byte_count,unique_src_ips,unique_dst_ips,unique_src_ports,unique_dst_ports,tcp_packet_count,udp_packet_count,icmp_packet_count,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_inter_arrival_time,std_inter_arrival_time,syn_count,ack_count,rst_count,fin_count,psh_count,forward_packets,backward_packets,forward_bytes,backward_bytes,flow_duration_mean,binary_label,attack_type
2011-08-10T09:04:00+00:00,2011-08-10T09:05:00+00:00,CTU13_PCAP,71,9229,3,6,7,7,11,56,0,129.98591549295776,84.87447117929331,60,503,0.3504271302904401,0.8136045475771264,3,9,2,0,3,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:06:00+00:00,2011-08-10T09:07:00+00:00,CTU13_PCAP,788,416416,12,13,29,29,735,53,0,528.4467005076142,1021.701496361231,60,8814,0.047244819631419,0.2930131686624955,56,695,7,33,95,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:07:00+00:00,2011-08-10T09:08:00+00:00,CTU13_PCAP,604,218763,9,29,34,15,598,6,0,362.19039735099335,552.0176764138555,60,3126,0.0975012138708314,0.3568311398311867,145,457,4,14,46,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:08:00+00:00,2011-08-10T09:09:00+00:00,CTU13_PCAP,526,203147,8,24,34,18,520,6,0,386.2110266159696,629.4532354511005,60,2798,0.1124545615059988,0.5866678097419674,133,394,9,24,40,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:09:00+00:00,2011-08-10T09:10:00+00:00,CTU13_PCAP,697,319270,15,24,39,31,628,69,0,458.0631276901004,783.4943810151586,60,4623,0.0847482400378961,0.3836089211554733,69,569,8,16,51,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:10:00+00:00,2011-08-10T09:11:00+00:00,CTU13_PCAP,580,118497,25,31,48,43,527,53,0,204.30517241379312,346.3908868965382,60,2283,0.1011811348646621,0.4099610824916186,125,426,33,50,123,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:11:00+00:00,2011-08-10T09:12:00+00:00,CTU13_PCAP,214,52803,12,21,33,25,198,16,0,246.7429906542056,763.3639425022321,60,5894,0.2736952439160414,0.7498105962899417,68,133,28,10,27,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:12:00+00:00,2011-08-10T09:13:00+00:00,CTU13_PCAP,168,11624,13,21,32,24,161,5,2,69.19047619047619,37.50776941434813,60,315,0.349862963853482,0.8007713177586524,80,86,12,18,18,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:13:00+00:00,2011-08-10T09:14:00+00:00,CTU13_PCAP,856,468311,10,17,33,26,833,23,0,547.0922897196261,990.761629826677,60,7354,0.0659433392753378,0.3844176124384391,65,718,70,31,140,0,0,0,0,,UNKNOWN,UNKNOWN
2011-08-10T09:14:00+00:00,2011-08-10T09:15:00+00:00,CTU13_PCAP,420,31408,11,36,54,22,401,19,0,74.78095238095239,51.30357472969453,60,340,0.1386471170229672,0.3129769654145392,166,240,5,30,86,0,0,0,0,,UNKNOWN,UNKNOWN
