scenario_id,scenario_family,window_start,window_end,binary_label,attack_type,packet_count,byte_count,packets_per_second,bytes_per_second,unique_src_ips,unique_dst_ips,unique_src_ports,unique_dst_ports,tcp_count,udp_count,icmp_count,other_protocol_count,packet_size_mean,packet_size_std,packet_size_min,packet_size_max,packet_size_median,packet_size_p25,packet_size_p75,iat_mean,iat_std,iat_min,iat_max,iat_median,syn_count,ack_count,rst_count,fin_count,psh_count,urg_count,forward_packet_count,backward_packet_count,forward_byte_count,backward_byte_count,unique_5tuple_count,flow_count,mean_flow_duration,packets_per_flow_mean,bytes_per_flow_mean,forward_backward_packet_ratio,forward_backward_byte_ratio,syn_ack_ratio,tcp_fraction,udp_fraction,icmp_fraction,unique_dst_ports_per_src_ip,unique_dst_ips_per_src_ip,unique_src_ips_per_dst_ip,port_diversity,destination_diversity
CTU42,Neris,2011-08-10T09:04:00+00:00,2011-08-10T09:05:00+00:00,1,Neris,71,9229,1.1833333333333333,153.81666666666666,3,6,7,7,11,56,0,4,129.98591549295776,84.87447117929331,60,503,110.0,92.0,110.0,0.35042713029044015,0.8136045475771264,0.0,5.318549871444702,0.0002906322479248047,3,9,2,0,3,0,71,0,9229.0,0.0,8,8,3.489874303340912,8.875,1153.625,,,0.3333333333333333,0.15492957746478872,0.7887323943661971,0.0,2.3333333333333335,2.0,0.5,7,6
CTU42,Neris,2011-08-10T09:06:00+00:00,2011-08-10T09:07:00+00:00,1,Neris,788,416416,13.133333333333333,6940.266666666666,12,13,29,29,735,53,0,0,528.4467005076142,1021.701496361231,60,8814,60.0,60.0,239.0,0.04724481963141901,0.2930131686624955,9.5367431640625e-07,7.244325876235962,0.00010585784912109375,56,695,7,33,95,0,788,0,416416.0,0.0,40,40,3.969466823339462,19.7,10410.4,,,0.08057553956834532,0.932741116751269,0.06725888324873096,0.0,2.4166666666666665,1.0833333333333333,0.9230769230769231,29,13
CTU42,Neris,2011-08-10T09:07:00+00:00,2011-08-10T09:08:00+00:00,1,Neris,604,218763,10.066666666666666,3646.05,9,29,34,15,598,6,0,0,362.19039735099335,552.0176764138555,60,3126,62.0,60.0,522.0,0.0975012138708314,0.3568311398311867,1.9073486328125e-06,5.989643812179565,0.00013399124145507812,145,457,4,14,46,0,604,0,218763.0,0.0,40,40,8.792833828926087,15.1,5469.075,,,0.3172866520787746,0.9900662251655629,0.009933774834437087,0.0,1.6666666666666667,3.2222222222222223,0.3103448275862069,15,29
CTU42,Neris,2011-08-10T09:08:00+00:00,2011-08-10T09:09:00+00:00,1,Neris,526,203147,8.766666666666667,3385.7833333333333,8,24,34,18,520,6,0,0,386.21102661596956,629.4532354511005,60,2798,62.0,60.0,272.25,0.11245456150599889,0.5866678097419674,9.5367431640625e-07,10.71540904045105,0.00015878677368164062,133,394,9,24,40,0,526,0,203147.0,0.0,42,42,4.366145014762878,12.523809523809524,4836.833333333333,,,0.33756345177664976,0.9885931558935361,0.011406844106463879,0.0,2.25,3.0,0.3333333333333333,18,24
CTU42,Neris,2011-08-10T09:09:00+00:00,2011-08-10T09:10:00+00:00,1,Neris,697,319270,11.616666666666667,5321.166666666667,15,24,39,31,628,69,0,0,458.06312769010043,783.4943810151586,60,4623,60.0,60.0,244.0,0.08474824003789616,0.38360892115547335,1.9073486328125e-06,6.0790839195251465,0.00019800662994384766,69,569,8,16,51,0,697,0,319270.0,0.0,48,48,5.96023890376091,14.520833333333334,6651.458333333333,,,0.12126537785588752,0.9010043041606887,0.09899569583931134,0.0,2.066666666666667,1.6,0.625,31,24
CTU42,Neris,2011-08-10T09:10:00+00:00,2011-08-10T09:11:00+00:00,1,Neris,580,118497,9.666666666666666,1974.95,25,31,48,43,527,53,0,0,204.30517241379312,346.3908868965382,60,2283,62.0,60.0,76.0,0.10118113486466218,0.40996108249161867,2.86102294921875e-06,3.4351770877838135,0.00027489662170410156,125,426,33,50,123,0,580,0,118497.0,0.0,72,72,6.806027829647064,8.055555555555555,1645.7916666666667,,,0.2934272300469484,0.9086206896551724,0.09137931034482759,0.0,1.72,1.24,0.8064516129032258,43,31
CTU42,Neris,2011-08-10T09:11:00+00:00,2011-08-10T09:12:00+00:00,1,Neris,214,52803,3.566666666666667,880.05,12,21,33,25,198,16,0,0,246.7429906542056,763.3639425022321,60,5894,62.0,60.0,62.0,0.27369524391604144,0.7498105962899417,2.86102294921875e-06,5.619567155838013,0.00025200843811035156,68,133,28,10,27,0,214,0,52803.0,0.0,44,44,5.329002700068734,4.863636363636363,1200.0681818181818,,,0.5112781954887218,0.9252336448598131,0.07476635514018691,0.0,2.0833333333333335,1.75,0.5714285714285714,25,21
CTU42,Neris,2011-08-10T09:12:00+00:00,2011-08-10T09:13:00+00:00,1,Neris,168,11624,2.8,193.73333333333332,13,21,32,24,161,5,2,0,69.19047619047619,37.50776941434813,60,315,62.0,60.0,62.0,0.349862963853482,0.8007713177586524,1.1920928955078125e-06,4.144229173660278,0.0002989768981933594,80,86,12,18,18,0,168,0,11624.0,0.0,37,37,2.788955140758205,4.54054054054054,314.1621621621622,,,0.9302325581395349,0.9583333333333334,0.02976190476190476,0.011904761904761904,1.8461538461538463,1.6153846153846154,0.6190476190476191,24,21
CTU42,Neris,2011-08-10T09:13:00+00:00,2011-08-10T09:14:00+00:00,1,Neris,856,468311,14.266666666666667,7805.183333333333,10,17,33,26,833,23,0,0,547.0922897196261,990.761629826677,60,7354,60.0,60.0,263.0,0.0659433392753378,0.38441761243843914,0.0,7.010372161865234,0.0002410411834716797,65,718,70,31,140,0,856,0,468311.0,0.0,39,39,7.516806443532308,21.94871794871795,12007.97435897436,,,0.0905292479108635,0.9731308411214953,0.026869158878504672,0.0,2.6,1.7,0.5882352941176471,26,17
CTU42,Neris,2011-08-10T09:14:00+00:00,2011-08-10T09:15:00+00:00,1,Neris,420,31408,7.0,523.4666666666667,11,36,54,22,401,19,0,0,74.78095238095239,51.30357472969453,60,340,62.0,60.0,62.0,0.13864711702296728,0.3129769654145392,3.814697265625e-06,3.915260076522827,0.00029206275939941406,166,240,5,30,86,0,420,0,31408.0,0.0,56,56,9.025550169604164,7.5,560.8571428571429,,,0.6916666666666667,0.9547619047619048,0.04523809523809524,0.0,2.0,3.272727272727273,0.3055555555555556,22,36
