source_row_index,scenario_id,window_start,dominant_family,dominant_family_probability,top2_family,confidence_margin,family_entropy,behavioral_change_score,strongest_behavior_changes,uncertainty_level
0,CTU42,2011-08-10T09:04:00+00:00,Neris,0.5957943331374737,RBot,0.4610209662148664,1.22092746858573,0.0,"[""state_top_probability_change"", ""state_entropy_change"", ""state_packet_rate_change""]",HIGH
1,CTU42,2011-08-10T09:06:00+00:00,Neris,0.629670007011876,Murlo,0.4952330652113069,1.2364976555727072,88.64534969865296,"[""state_byte_rate_change"", ""state_ack_rate_change"", ""state_packet_rate_change""]",HIGH
2,CTU42,2011-08-10T09:07:00+00:00,Neris,0.8227340649511853,Virut,0.7704023356667759,0.7430799715259866,52.76432040015382,"[""state_byte_rate_change"", ""state_syn_rate_change"", ""state_top_probability_change""]",MEDIUM
3,CTU42,2011-08-10T09:08:00+00:00,Neris,0.7831622335850483,Virut,0.6970982807400443,0.8331856943213476,8.926077514020898,"[""state_byte_rate_change"", ""state_ack_rate_change"", ""state_top_probability_change""]",MEDIUM
4,CTU42,2011-08-10T09:09:00+00:00,Neris,0.872311797484369,Virut,0.8047074244188733,0.5500408737478328,32.0167723825209,"[""state_byte_rate_change"", ""state_syn_rate_change"", ""state_ack_rate_change""]",MEDIUM
5,CTU42,2011-08-10T09:10:00+00:00,Neris,0.958016629252504,Murlo,0.9409534521140904,0.232361949348537,45.669003008635606,"[""state_byte_rate_change"", ""state_syn_rate_change"", ""state_ack_rate_change""]",LOW
6,CTU42,2011-08-10T09:11:00+00:00,Neris,0.7940176943297051,Virut,0.6755641956243398,0.7551360524427038,37.90640941075531,"[""state_byte_rate_change"", ""state_ack_rate_change"", ""state_top_probability_change""]",MEDIUM
7,CTU42,2011-08-10T09:12:00+00:00,Neris,0.5975346236623565,RBot,0.2908785279791408,0.9983744899046932,17.35887014567151,"[""state_top_probability_change"", ""state_byte_rate_change"", ""state_rst_rate_change""]",MEDIUM
8,CTU42,2011-08-10T09:13:00+00:00,Neris,0.8327838080167138,Virut,0.7240026290009578,0.6489839318287284,97.68114810374051,"[""state_byte_rate_change"", ""state_ack_rate_change"", ""state_packet_rate_change""]",MEDIUM
9,CTU42,2011-08-10T09:14:00+00:00,Neris,0.9436160573779756,RBot,0.8986646601748483,0.2587420120241066,92.98971069306204,"[""state_byte_rate_change"", ""state_ack_rate_change"", ""state_syn_rate_change""]",LOW
10,CTU42,2011-08-10T09:15:00+00:00,Neris,0.9917254415066012,RBot,0.9882558868882813,0.0587828016283892,10.93480514744112,"[""state_syn_rate_change"", ""state_byte_rate_change"", ""state_top_probability_change""]",LOW
11,CTU42,2011-08-10T09:16:00+00:00,Neris,0.954750634896977,RBot,0.9185631707135178,0.2182476788364769,6.704534212859056,"[""state_byte_rate_change"", ""state_top_probability_change"", ""state_ack_rate_change""]",LOW
12,CTU42,2011-08-10T09:17:00+00:00,Neris,0.9883229751796684,RBot,0.98369268992473,0.0807279842394845,13.820324376337801,"[""state_syn_rate_change"", ""state_packet_rate_change"", ""state_byte_rate_change""]",LOW
13,CTU42,2011-08-10T09:18:00+00:00,Neris,0.9975542709522144,Virut,0.996488903293221,0.0204016615457956,29.777638312684697,"[""state_byte_rate_change"", ""state_rst_rate_change"", ""state_ack_rate_change""]",LOW
14,CTU42,2011-08-10T09:19:00+00:00,Neris,0.9639055411618884,RBot,0.9484080174027892,0.2018382698801464,33.94129577872513,"[""state_byte_rate_change"", ""state_ack_rate_change"", ""state_rst_rate_change""]",LOW
15,CTU42,2011-08-10T09:20:00+00:00,Neris,0.9962857702554984,Virut,0.994840255201356,0.029500980835871,11.062592252365056,"[""state_ack_rate_change"", ""state_syn_rate_change"", ""state_byte_rate_change""]",LOW
16,CTU42,2011-08-10T09:21:00+00:00,Neris,0.9958039960758984,Virut,0.9943463924102922,0.0331821640183065,4.478508618879215,"[""state_syn_rate_change"", ""state_byte_rate_change"", ""state_rst_rate_change""]",LOW
17,CTU42,2011-08-10T09:22:00+00:00,Neris,0.9910219342519848,Virut,0.9876387192795058,0.0645482794412291,14.188747713627885,"[""state_byte_rate_change"", ""state_rst_rate_change"", ""state_syn_rate_change""]",LOW
18,CTU42,2011-08-10T09:23:00+00:00,Neris,0.99334903997779,Murlo,0.9911881099229688,0.050345695697255,17.999726325233848,"[""state_byte_rate_change"", ""state_rst_rate_change"", ""state_syn_rate_change""]",LOW
19,CTU42,2011-08-10T09:24:00+00:00,Neris,0.9017771600122212,RBot,0.8526619761127097,0.4402493952895827,13.531524745004488,"[""state_top_probability_change"", ""state_syn_rate_change"", ""state_entropy_change""]",LOW
20,CTU42,2011-08-10T09:25:00+00:00,Neris,0.9877301262204622,Virut,0.9813226122209074,0.0836483851725835,141.06335900873316,"[""state_byte_rate_change"", ""state_ack_rate_change"", ""state_packet_rate_change""]",LOW
21,CTU42,2011-08-10T09:26:00+00:00,Neris,0.9594442240153416,NSIS Agent,0.9413170666813776,0.2303630040195581,46.83587552149484,"[""state_byte_rate_change"", ""state_syn_rate_change"", ""state_packet_rate_change""]",LOW
22,CTU42,2011-08-10T09:27:00+00:00,Neris,0.9845727565036908,Virut,0.9742874619409824,0.097597189707442,19.234507172035503,"[""state_byte_rate_change"", ""state_destination_diversity_change"", ""state_syn_rate_change""]",LOW
23,CTU42,2011-08-10T09:28:00+00:00,Neris,0.9977597423951609,Virut,0.996981422027728,0.0192769972391826,144.7514067241478,"[""state_byte_rate_change"", ""state_ack_rate_change"", ""state_packet_rate_change""]",LOW
24,CTU42,2011-08-10T09:29:00+00:00,Neris,0.9961907970597396,Virut,0.994785311870612,0.0308902663784034,5.475362621251826,"[""state_byte_rate_change"", ""state_ack_rate_change"", ""state_rst_rate_change""]",LOW
25,CTU42,2011-08-10T09:30:00+00:00,Neris,0.9830983160338016,Virut,0.9726690751071791,0.1070579767654748,183.53354650942603,"[""state_byte_rate_change"", ""state_ack_rate_change"", ""state_packet_rate_change""]",LOW
26,CTU42,2011-08-10T09:31:00+00:00,Neris,0.9836165459749494,Virut,0.9737758625565476,0.1046683290679312,87.5424110918126,"[""state_byte_rate_change"", ""state_ack_rate_change"", ""state_packet_rate_change""]",LOW
27,CTU42,2011-08-10T09:32:00+00:00,Neris,0.9799601193420312,Virut,0.970546923450916,0.1276998543588785,35.77739774933922,"[""state_byte_rate_change"", ""state_syn_rate_change"", ""state_ack_rate_change""]",LOW
28,CTU42,2011-08-10T09:33:00+00:00,Neris,0.9139654140165682,Virut,0.8503980489913784,0.377678780456445,97.89251524414571,"[""state_byte_rate_change"", ""state_ack_rate_change"", ""state_packet_rate_change""]",LOW
29,CTU42,2011-08-10T09:34:00+00:00,Neris,0.9934006769846184,Virut,0.9899438404339028,0.0489589204069061,133.7046795525862,"[""state_byte_rate_change"", ""state_ack_rate_change"", ""state_packet_rate_change""]",LOW
30,CTU42,2011-08-10T09:35:00+00:00,Neris,0.9918002066514476,Virut,0.9877309281557626,0.0594666291634899,8.511189188720573,"[""state_byte_rate_change"", ""state_syn_rate_change"", ""state_rst_rate_change""]",LOW
31,CTU42,2011-08-10T09:36:00+00:00,Neris,0.9976634543228604,RBot,0.9966699261202728,0.0197395460553206,98.9276984049498,"[""state_byte_rate_change"", ""state_ack_rate_change"", ""state_packet_rate_change""]",LOW
