source_row_index,scenario_id,window_start,window_end,split,family_probability_provenance,family_probability_neris,family_probability_rbot,family_probability_virut,family_probability_donbot,family_probability_sogou,family_probability_murlo,family_probability_nsis_agent,predicted_family,top_family_confidence,second_family_probability,top1_top2_margin,family_entropy,top2_family,state_packet_rate,state_byte_rate,state_syn_rate,state_ack_rate,state_rst_rate,state_fin_rate,state_iat,state_destination_diversity,state_port_diversity,state_directionality,state_top_probability_change,state_entropy_change,state_packet_rate_change,state_byte_rate_change,state_syn_rate_change,state_ack_rate_change,state_rst_rate_change,state_fin_rate_change,state_iat_change,state_destination_diversity_change,state_port_diversity_change,state_directionality_change
0,CTU42,2011-08-10T09:04:00+00:00,2011-08-10T09:05:00+00:00,train,in_sample_training_prediction,0.5957943331374737,0.1347733669226072,0.1244889450115535,0.0121056238998577,0.0076463191270385,0.1163060078812997,0.0088854040201695,Neris,0.5957943331374737,0.1347733669226072,0.46102096621486643,1.2209274685857299,RBot,1.1833333333333331,153.81666666666666,3.0,9.0,2.0,0.0,0.3504271302904401,6.0,7.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,CTU42,2011-08-10T09:06:00+00:00,2011-08-10T09:07:00+00:00,train,in_sample_training_prediction,0.629670007011876,0.0187276293396709,0.0959432465427194,0.0164016456821788,0.0570560075819229,0.1344369418005691,0.0477645220410626,Neris,0.629670007011876,0.1344369418005691,0.49523306521130694,1.2364976555727072,Murlo,13.133333333333333,6940.266666666666,56.0,695.0,7.0,33.0,0.047244819631419,13.0,29.0,2.256198347107438,0.03387567387440238,0.015570186986977319,11.95,6786.45,53.0,686.0,5.0,33.0,-0.30318231065902107,7.0,22.0,-10.143801652892563
2,CTU42,2011-08-10T09:07:00+00:00,2011-08-10T09:08:00+00:00,train,in_sample_training_prediction,0.8227340649511853,0.0280551629150804,0.0523317292844094,0.0395979160965436,0.0058935848543444,0.045998875337468,0.0053886665609686,Neris,0.8227340649511853,0.0523317292844094,0.7704023356667759,0.7430799715259866,Virut,10.066666666666666,3646.05,145.0,457.0,4.0,14.0,0.0975012138708314,29.0,15.0,2.318681318681319,0.19306405793930925,-0.4934176840467206,-3.0666666666666664,-3294.2166666666662,89.0,-238.0,-3.0,-19.0,0.050256394239412396,16.0,-14.0,0.06248297157388105
3,CTU42,2011-08-10T09:08:00+00:00,2011-08-10T09:09:00+00:00,train,in_sample_training_prediction,0.7831622335850483,0.0237762385764961,0.086063952845004,0.0365911753702415,0.0055900330890905,0.0610414738201679,0.0037748927139515,Neris,0.7831622335850483,0.086063952845004,0.6970982807400443,0.8331856943213476,Virut,8.766666666666667,3385.7833333333333,133.0,394.0,9.0,24.0,0.1124545615059988,24.0,18.0,1.858695652173913,-0.039571831366136956,0.090105722795361,-1.299999999999999,-260.2666666666669,-12.0,-63.0,5.0,10.0,0.01495334763516741,-5.0,3.0,-0.4599856665074058
4,CTU42,2011-08-10T09:09:00+00:00,2011-08-10T09:10:00+00:00,train,in_sample_training_prediction,0.872311797484369,0.0052466949472733,0.0676043730654957,0.0042005559992345,0.0078185412072075,0.0308494928613054,0.0119685444351141,Neris,0.872311797484369,0.0676043730654957,0.8047074244188733,0.5500408737478328,Virut,11.616666666666667,5321.166666666667,69.0,569.0,8.0,16.0,0.0847482400378961,24.0,31.0,1.4628975265017667,0.08914956389932072,-0.28314482057351475,2.8499999999999996,1935.3833333333337,-64.0,175.0,-1.0,-8.0,-0.0277063214681027,0.0,13.0,-0.39579812567214634
5,CTU42,2011-08-10T09:10:00+00:00,2011-08-10T09:11:00+00:00,train,in_sample_training_prediction,0.958016629252504,0.0089958977516945,0.0117828181819497,0.0018815546733889,0.0009177340151887,0.0170631771384136,0.0013421889868604,Neris,0.958016629252504,0.0170631771384136,0.9409534521140903,0.23236194934853704,Murlo,9.666666666666666,1974.95,125.0,426.0,33.0,50.0,0.1011811348646621,31.0,43.0,2.3142857142857145,0.08570483176813493,-0.3176789243992958,-1.950000000000001,-3346.216666666667,56.0,-143.0,25.0,34.0,0.016432894826765992,7.0,12.0,0.8513881877839478
6,CTU42,2011-08-10T09:11:00+00:00,2011-08-10T09:12:00+00:00,train,in_sample_training_prediction,0.7940176943297051,0.0244608313453162,0.1184534987053654,0.0113350206732507,0.0035933684324004,0.0450408704255047,0.003098716088457,Neris,0.7940176943297051,0.1184534987053654,0.6755641956243398,0.7551360524427038,Virut,3.566666666666667,880.05,68.0,133.0,28.0,10.0,0.2736952439160414,21.0,25.0,2.566666666666667,-0.16399893492279882,0.5227741030941667,-6.1,-1094.9,-57.0,-293.0,-5.0,-40.0,0.1725141090513793,-10.0,-18.0,0.2523809523809524
7,CTU42,2011-08-10T09:12:00+00:00,2011-08-10T09:13:00+00:00,train,in_sample_training_prediction,0.5975346236623565,0.3066560956832157,0.039516408281481,0.0083537156531891,0.0019052816080142,0.0444457626700154,0.0015881124417278,Neris,0.5975346236623565,0.3066560956832157,0.2908785279791408,0.9983744899046931,RBot,2.8,193.7333333333333,80.0,86.0,12.0,18.0,0.349862963853482,21.0,24.0,2.772727272727273,-0.1964830706673486,0.24323843746198937,-0.766666666666667,-686.3166666666666,12.0,-47.0,-16.0,8.0,0.07616771993744059,0.0,-1.0,0.20606060606060606
8,CTU42,2011-08-10T09:13:00+00:00,2011-08-10T09:14:00+00:00,train,in_sample_training_prediction,0.8327838080167138,0.0080040090716662,0.108781179015756,0.0052314408766151,0.0171246631907437,0.0159563877014259,0.0121185121270793,Neris,0.8327838080167138,0.108781179015756,0.7240026290009578,0.6489839318287284,Virut,14.266666666666667,7805.183333333333,65.0,718.0,70.0,31.0,0.0659433392753378,17.0,26.0,1.3777777777777778,0.23524918435435727,-0.34939055807596475,11.466666666666669,7611.45,-15.0,632.0,58.0,13.0,-0.2839196245781442,-4.0,2.0,-1.3949494949494952
9,CTU42,2011-08-10T09:14:00+00:00,2011-08-10T09:15:00+00:00,train,in_sample_training_prediction,0.9436160573779756,0.0449513972031274,0.004112950143909,0.0009528169121657,0.0004547833239371,0.0055073760391859,0.0004046189996992,Neris,0.9436160573779756,0.0449513972031274,0.8986646601748483,0.2587420120241066,RBot,7.0,523.4666666666667,166.0,240.0,5.0,30.0,0.1386471170229672,36.0,22.0,4.0,0.11083224936126179,-0.39024191980462175,-7.2666666666666675,-7281.716666666667,101.0,-478.0,-65.0,-1.0,0.0727037777476294,19.0,-4.0,2.6222222222222222
