window_start,window_end,dataset_source,number_of_flows,mean_dst_port,mean_flow_duration,mean_total_packets,total_packets,mean_total_bytes,total_bytes,mean_source_bytes,source_bytes,mean_iat_variance,mean_s_tos,mean_d_tos,mean_tot_fwd_pkts,mean_tot_bwd_pkts,mean_totlen_fwd_pkts,mean_totlen_bwd_pkts,mean_flow_byts_s,mean_flow_pkts_s,mean_flow_iat_mean,mean_flow_iat_std,mean_flow_iat_max,mean_flow_iat_min,mean_fwd_pkts_s,mean_bwd_pkts_s,mean_down_up_ratio,mean_fin_flag_cnt,mean_syn_flag_cnt,mean_rst_flag_cnt,mean_psh_flag_cnt,mean_ack_flag_cnt,mean_urg_flag_cnt,mean_cwe_flag_count,mean_ece_flag_cnt,mean_init_fwd_win_byts,mean_init_bwd_win_byts,mean_fwd_pkt_len_max,mean_fwd_pkt_len_min,mean_fwd_pkt_len_mean,mean_fwd_pkt_len_std,mean_bwd_pkt_len_max,mean_bwd_pkt_len_min,mean_bwd_pkt_len_mean,mean_bwd_pkt_len_std,mean_pkt_len_min,mean_pkt_len_max,mean_pkt_len_mean,mean_pkt_len_std,mean_pkt_len_var,mean_pkt_size_avg,mean_fwd_seg_size_avg,mean_bwd_seg_size_avg,target_next_window
2011-08-10 09:46:00,2011-08-10 09:47:00,CTU13,1654,12782.049291435613,1279.3881594050786,562.7152357920194,930731,442918.2400241838,732586769,419831.4516324063,694401221,,0.0018214936247723133,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 09:47:00,2011-08-10 09:48:00,CTU13,10191,12623.321435712858,1235.6530180582868,39.8255323324502,405862,8187.587969777254,83439709,3464.6359532921206,35308105,,0.04169541646131099,0.00031453134829104634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 09:48:00,2011-08-10 09:49:00,CTU13,8657,13274.64637749675,1110.4049347034768,27.098532979092063,234592,17533.476030957605,151787302,1125.6070232182049,9744380,,0.024854819976771195,0.0023643603782976604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 09:49:00,2011-08-10 09:50:00,CTU13,9321,11927.165774232324,922.117819277009,13.56710653363373,126459,3458.3323677716985,32235116,1027.0345456496084,9572989,,0.023957885689729265,0.00034722222222222224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 09:50:00,2011-08-10 09:51:00,CTU13,9194,10952.259480375898,897.5732357643028,12.54709593212965,115358,5290.367957363498,48639643,839.8135740700457,7721246,,0.0223457597558317,0.0006919617114519663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 09:51:00,2011-08-10 09:52:00,CTU13,8449,11237.77426717924,919.3470909518286,13.67132204994674,115509,5986.737247011481,50581943,887.8359569179785,7501326,,0.026250148473690463,0.0007530120481927711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 09:52:00,2011-08-10 09:53:00,CTU13,9524,11387.711853517507,854.4613882233306,23.606047879042418,224824,18503.166631667365,176224159,1015.0921881562368,9667738,,0.0246092099704267,0.0002260397830018083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 09:53:00,2011-08-10 09:54:00,CTU13,8391,11599.676143237359,870.024378142772,9.063043737337624,76048,3519.9426766773922,29535839,729.510189488738,6121320,,0.023914863087408825,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 09:54:00,2011-08-10 09:55:00,CTU13,8534,11028.424952426261,860.3779481495196,126.78017342395125,1081942,104634.412819311,892950079,3660.8834075462855,31241979,,0.02569845573499941,0.0011177347242921013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 09:55:00,2011-08-10 09:56:00,CTU13,8307,10670.07459578638,852.180794847478,12.800048152160828,106330,6900.4891055736125,57322363,1496.2572529192248,12429409,,0.025966183574879228,0.0002564102564102564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 09:56:00,2011-08-10 09:57:00,CTU13,8737,9555.304880869766,768.8525045063524,9.548929838617374,83429,3854.1822135744533,33673990,735.0578001602381,6422200,,0.024295209718083886,0.0002388630120625821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 09:57:00,2011-08-10 09:58:00,CTU13,7126,10675.437803831855,832.8357674079427,13.417625596407522,95614,10345.140190850407,73719469,552.8388998035364,3939530,,0.02997737556561086,0.0004440497335701599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 09:58:00,2011-08-10 09:59:00,CTU13,8162,8756.638221451572,648.0764453107082,9.230703259005146,75341,4507.147635383484,36787339,909.9264886057339,7426820,,0.025411244782715444,0.00025936973155232785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 09:59:00,2011-08-10 10:00:00,CTU13,8160,10263.354433528168,726.8599634796568,12.609436274509804,102893,6621.9550245098035,54035153,1437.4117647058824,11729280,,0.025584255842558426,0.0002609262883235486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 10:00:00,2011-08-10 10:01:00,CTU13,8151,8638.151793471516,650.3452920461293,7.245245982088087,59056,2352.9170653907495,19178627,504.0504232609496,4108515,,0.02643225965084829,0.00012822156686754713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 10:01:00,2011-08-10 10:02:00,CTU13,7140,9634.742411347517,742.0692404773109,17.665546218487396,126132,12597.587675070028,89946776,829.006862745098,5919109,,0.029333333333333333,0.0004404639553663192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 10:02:00,2011-08-10 10:03:00,CTU13,7454,9702.815178815179,665.7566477365173,27.451167158572577,204621,20059.257445666757,149521705,1015.5393077542259,7569830,,0.027129167229045754,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 10:03:00,2011-08-10 10:04:00,CTU13,8274,10307.802039813221,647.6945770535413,97.61663040850858,807680,88755.83067440175,734365743,2774.437515107566,22955696,,0.024869586315661774,0.0006567713122290818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 10:04:00,2011-08-10 10:05:00,CTU13,8207,9474.94388133498,608.3368267827465,17.130010966248324,140586,12109.852199342025,99385557,3695.0252223711464,30325072,,0.026954177897574125,0.00038724667613269654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 10:05:00,2011-08-10 10:06:00,CTU13,7724,11319.362057623997,725.2769631852667,15.930476437079234,123047,8419.757897462454,65034210,2259.326903158985,17451041,,0.02781388094619184,0.00027843519420854795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 10:06:00,2011-08-10 10:07:00,CTU13,9303,7726.304668838219,573.7239782151994,10.002902289584005,93057,4728.4506073309685,43988776,612.5993765452005,5699012,,0.023891519586741284,0.0005839075090505664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 10:07:00,2011-08-10 10:08:00,CTU13,8220,8610.474898236092,602.2067066075425,9.238686131386862,75942,4570.8461070559615,37572355,492.67822384428223,4049815,,0.024929732371990712,0.00038153376573826786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 10:08:00,2011-08-10 10:09:00,CTU13,7035,8752.52045520023,636.6680951041933,13.583511016346836,95560,9655.64591329069,67927469,637.7512437810946,4486580,,0.030264097073518913,0.0007389890629618681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 10:09:00,2011-08-10 10:10:00,CTU13,6842,9578.665033407573,629.6363382962585,11.7524115755627,80410,7596.812189418299,51977389,591.0043846828413,4043652,,0.030107211044206196,0.0006111535523300229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 10:10:00,2011-08-10 10:11:00,CTU13,9365,7272.040435626483,481.8598452884143,10.468232781633743,98035,4673.348852108917,43765912,584.6205018686599,5474971,,0.022357723577235773,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 10:11:00,2011-08-10 10:12:00,CTU13,8045,7424.757142857143,497.97868520696085,8.637911746426353,69492,4049.422374145432,32577603,592.069608452455,4763200,,0.0253889234598631,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 10:12:00,2011-08-10 10:13:00,CTU13,7515,8140.05442543446,535.9298924017298,14.350898203592815,107847,9588.645508982036,72058671,4409.797870924817,33139631,,0.027247228529451047,0.00041499515838981876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 10:13:00,2011-08-10 10:14:00,CTU13,8137,8339.254740518962,518.0001060685756,11.15742902789726,90788,5953.928229077055,48447114,575.1435418458891,4679943,,0.025435238918384985,0.0003852080123266564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 10:14:00,2011-08-10 10:15:00,CTU13,9314,6754.591761517615,430.32377940627015,10.548743826497745,98251,5307.058728795362,49429945,557.8741679192614,5196040,,0.02224381816218551,0.0002207505518763797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2011-08-10 10:15:00,2011-08-10 10:16:00,CTU13,9227,6989.438863910516,453.8789115699577,10.208084968028611,94190,5172.492034247318,47726584,814.5499078790506,7515852,,0.02324066029539531,0.00045300113250283127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
