model,split,state_variable,mae,rmse,r2
ZeroChange,validation,number_of_flows,757.8152866242038,1081.2816557716496,-0.0009642685377533322
ZeroChange,validation,total_packets,72579.1719745223,158503.11852725878,-1.9645049586181074e-05
ZeroChange,validation,total_bytes,71337495.81528662,173164220.49296165,-6.700449924679219e-06
ZeroChange,validation,mean_flow_duration,2397162.1481230245,3657588.0924469144,-2.0738849752399702e-05
ZeroChange,validation,mean_flow_pkts_s,10754.833594564432,18033.970789973435,-1.2198443279709537e-05
ZeroChange,validation,mean_flow_byts_s,101254.78156204664,152218.77552457285,-6.850850116313367e-06
ZeroChange,validation,mean_flow_iat_mean,1122896.062662068,1846433.9767143563,-0.000112963250479714
ZeroChange,validation,mean_flow_iat_std,247896.77307572644,372722.3688921496,-6.914549702652373e-05
ZeroChange,validation,mean_syn_flag_cnt,0.018876149102549627,0.03214120412793172,-1.6279670168151128e-05
ZeroChange,validation,mean_ack_flag_cnt,0.058025827984383486,0.09185028267113433,-9.864382401114646e-05
ZeroChange,validation,mean_rst_flag_cnt,0.04923522591451232,0.0731921393140621,-0.0002390022912850398
ZeroChange,validation,mean_down_up_ratio,0.08412019796911632,0.13067910586683298,-6.483281947744501e-06
ZeroChange,test,number_of_flows,630.9125,914.2655522330479,-0.0009404913106263457
ZeroChange,test,total_packets,47192.15,109749.21827443692,-0.0005509029638663954
ZeroChange,test,total_bytes,42721926.375,104633830.45688957,-4.9703954008384343e-05
ZeroChange,test,mean_flow_duration,1981625.7800206388,3068339.1638793447,-0.0009178151272077884
ZeroChange,test,mean_flow_pkts_s,7328.673359302072,12010.026396693167,-8.797848893848936e-08
ZeroChange,test,mean_flow_byts_s,74108.21122748502,113017.289637905,-9.140874508428709e-07
ZeroChange,test,mean_flow_iat_mean,657958.656411879,1065816.3410702127,-8.79680247909409e-05
ZeroChange,test,mean_flow_iat_std,185637.7323785348,287751.94727159955,-6.795097899892077e-05
ZeroChange,test,mean_syn_flag_cnt,0.012859274560727163,0.02145094565149709,-5.857977489753807e-07
ZeroChange,test,mean_ack_flag_cnt,0.04866045795133339,0.07441847210542922,-5.4499713452837995e-05
ZeroChange,test,mean_rst_flag_cnt,0.052157919759762986,0.08143297718556325,-5.715919385052004e-05
ZeroChange,test,mean_down_up_ratio,0.05851900733645902,0.09045084790310405,-0.00010253831050399675
