model,split,seconds,state_variable,mae,rmse,r2
Persistence,validation,0.006543636322021484,number_of_flows,757.8152866242038,1081.2816557716496,0.818509956983308
Persistence,validation,0.006543636322021484,total_packets,72579.1719745223,158503.11852725878,-0.3333662726692015
Persistence,validation,0.006543636322021484,total_bytes,71337495.81528662,173164220.49296165,-0.5994500688872915
Persistence,validation,0.006543636322021484,mean_flow_duration,2397162.1481230245,3657588.0924469144,0.7042736998540573
Persistence,validation,0.006543636322021484,mean_flow_pkts_s,10754.833594564432,18033.970789973435,-0.5014076536776548
Persistence,validation,0.006543636322021484,mean_flow_byts_s,101254.78156204664,152218.77552457285,-0.47422631667219495
Persistence,validation,0.006543636322021484,mean_flow_iat_mean,1122896.062662068,1846433.9767143563,0.10032769852669421
Persistence,validation,0.006543636322021484,mean_flow_iat_std,247896.77307572644,372722.3688921496,-0.602799530400683
Persistence,validation,0.006543636322021484,mean_syn_flag_cnt,0.018876149102549627,0.03214120412793172,-0.5949116213058956
Persistence,validation,0.006543636322021484,mean_ack_flag_cnt,0.058025827984383486,0.09185028267113433,-0.39806718947558695
Persistence,validation,0.006543636322021484,mean_rst_flag_cnt,0.04923522591451232,0.0731921393140621,-0.15185001992232894
Persistence,validation,0.006543636322021484,mean_down_up_ratio,0.08412019796911632,0.13067910586683298,-0.4480341219590904
Persistence,test,0.012552976608276367,number_of_flows,630.9125,914.2655522330479,0.8808627598416654
Persistence,test,0.012552976608276367,total_packets,47192.15,109749.21827443692,-0.27257923826592245
Persistence,test,0.012552976608276367,total_bytes,42721926.375,104633830.45688957,-0.41088133818621775
Persistence,test,0.012552976608276367,mean_flow_duration,1981625.7800206388,3068339.1638793447,0.6536512992564236
Persistence,test,0.012552976608276367,mean_flow_pkts_s,7328.673359302072,12010.026396693167,-0.7299551997237979
Persistence,test,0.012552976608276367,mean_flow_byts_s,74108.21122748502,113017.289637905,-0.9396204929890759
Persistence,test,0.012552976608276367,mean_flow_iat_mean,657958.656411879,1065816.3410702127,0.3385006451486249
Persistence,test,0.012552976608276367,mean_flow_iat_std,185637.7323785348,287751.94727159955,-1.0307303482277819
Persistence,test,0.012552976608276367,mean_syn_flag_cnt,0.012859274560727163,0.02145094565149709,-0.9331887007598318
Persistence,test,0.012552976608276367,mean_ack_flag_cnt,0.04866045795133339,0.07441847210542922,-0.6252388575316437
Persistence,test,0.012552976608276367,mean_rst_flag_cnt,0.052157919759762986,0.08143297718556325,-0.5227603910148511
Persistence,test,0.012552976608276367,mean_down_up_ratio,0.05851900733645902,0.09045084790310405,-0.5416505510496756
LinearRegression,validation,0.01855635643005371,number_of_flows,808.6975520144441,1126.645397222359,0.802962165031391
LinearRegression,validation,0.01855635643005371,total_packets,64453.2361349032,117664.41405790315,0.26520851353697117
LinearRegression,validation,0.01855635643005371,total_bytes,61452268.595465474,123646490.45480698,0.18451129444982084
LinearRegression,validation,0.01855635643005371,mean_flow_duration,2053740.1172932512,3136452.0112140286,0.7825408659487609
LinearRegression,validation,0.01855635643005371,mean_flow_pkts_s,6314.775434796589,10163.951802897316,0.5230848754437375
LinearRegression,validation,0.01855635643005371,mean_flow_byts_s,64981.812872375536,106578.52802318287,0.2772848694244354
LinearRegression,validation,0.01855635643005371,mean_flow_iat_mean,1136777.9702704893,1725882.153810322,0.2139701124489677
LinearRegression,validation,0.01855635643005371,mean_flow_iat_std,196280.37475398136,296591.109072575,-0.014903025590978558
LinearRegression,validation,0.01855635643005371,mean_syn_flag_cnt,0.011071276732415402,0.018196521170810488,0.4888020887117793
LinearRegression,validation,0.01855635643005371,mean_ack_flag_cnt,0.04786077283810212,0.06679274661647691,0.2606915763923138
LinearRegression,validation,0.01855635643005371,mean_rst_flag_cnt,0.04251244312423893,0.06378201269966641,0.12529120944904226
LinearRegression,validation,0.01855635643005371,mean_down_up_ratio,0.21856827710612658,0.3455074121619839,-9.122347084326698
LinearRegression,test,0.024715185165405273,number_of_flows,656.3562341926206,938.1257240568249,0.8745632158103828
LinearRegression,test,0.024715185165405273,total_packets,49846.30563702489,83450.95879726628,0.26422568314486117
LinearRegression,test,0.024715185165405273,total_bytes,46129162.99268684,80037861.16840339,0.1744617707093371
LinearRegression,test,0.024715185165405273,mean_flow_duration,1527559.6742076715,2309521.7628263263,0.8037765288392152
