rank,feature,importance,method
1,packet_size_max,22.89745176765862,native
2,syn_ack_ratio,9.123617169757924,native
3,iat_median,8.538503604837807,native
4,packet_size_median,2.9252175406467873,native
5,fin_count,2.8722518046747356,native
6,syn_count,2.7047019037270794,native
7,forward_backward_packet_ratio,2.533249631906285,native
8,destination_diversity,2.5324155431406807,native
9,packet_size_std,2.390736317266506,native
10,bytes_per_flow_mean,2.1142653034553995,native
11,unique_dst_ips,2.0618220199943083,native
12,mean_flow_duration,2.060838333768392,native
13,psh_count,2.0216328617101054,native
14,packet_size_mean,1.9539299296638406,native
15,iat_max,1.6253277653348182,native
16,unique_src_ips_per_dst_ip,1.624730526294288,native
17,udp_count,1.5842744495867043,native
18,packets_per_flow_mean,1.548936175408358,native
19,packet_size_p25,1.4708859265640553,native
20,udp_fraction,1.4628751267090165,native
