feature,missing_count,missing_percentage,nan_count,positive_inf_count,negative_inf_count,zero_count,unique_count,min,max,mean,std,median,iqr
packet_count,0,0.0,0,0,0,0,786,1.0,26174.0,297.7854260089686,1018.633902810672,20.0,212.0
byte_count,0,0.0,0,0,0,0,2028,60.0,21187395.0,120063.31614349775,787124.0355656388,1999.0,14882.0
packets_per_second,0,0.0,0,0,0,0,786,0.0166666666666666,436.23333333333335,4.96309043348281,16.977231713511202,0.3333333333333333,3.5333333333333337
bytes_per_second,0,0.0,0,0,0,0,2028,1.0,353123.25,2001.055269058296,13118.73392609398,33.31666666666667,248.03333333333333
unique_src_ips,0,0.0,0,0,0,0,121,1.0,477.0,7.392152466367713,24.270801245083383,2.0,2.0
unique_dst_ips,0,0.0,0,0,0,0,157,1.0,498.0,17.56591928251121,31.308481926336196,3.0,32.0
unique_src_ports,0,0.0,0,0,0,2,129,0.0,498.0,18.84372197309417,27.047531833690776,4.0,33.0
unique_dst_ports,0,0.0,0,0,0,2,114,0.0,475.0,8.14237668161435,21.031510180075646,3.0,5.0
tcp_count,0,0.0,0,0,0,267,663,0.0,17437.0,208.00896860986546,581.2678148895145,18.0,192.0
udp_count,0,0.0,0,0,0,3063,239,0.0,24818.0,88.14461883408072,774.8048092419804,0.0,2.0
icmp_count,0,0.0,0,0,0,3607,45,0.0,119.0,1.6226457399103138,4.960076375847744,0.0,0.0
other_protocol_count,0,0.0,0,0,0,4450,4,0.0,8.0,0.009192825112107623,0.20784301859600493,0.0,0.0
packet_size_mean,0,0.0,0,0,0,0,2045,60.0,1409.0,144.84134037138134,149.6519491384059,86.57025036818851,58.0883373975479
packet_size_std,0,0.0,0,0,0,260,2083,0.0,1612.7303468005907,125.3253449611721,202.50225688150275,37.09506560468266,88.51918543914893
packet_size_min,0,0.0,0,0,0,0,14,60.0,1409.0,68.46457399103139,47.83874714439177,60.0,0.0
packet_size_max,0,0.0,0,0,0,0,161,60.0,19034.0,705.6399103139014,1301.2135557169363,243.0,378.0
packet_size_median,0,0.0,0,0,0,0,68,60.0,1409.0,93.87085201793722,121.59758356171052,62.0,17.0
packet_size_p25,0,0.0,0,0,0,0,48,60.0,1409.0,80.74220852017937,90.66270479631439,62.0,14.25
packet_size_p75,0,0.0,0,0,0,0,201,60.0,1514.0,167.81272421524665,241.437299843335,79.0,54.75
iat_mean,0,0.0,0,0,0,5,4048,0.0,16.71622586250305,0.39946073662858705,1.0909327674738134,0.09355672604472126,0.27090747204470084
iat_std,0,0.0,0,0,0,182,4272,0.0,21.311240688138845,0.9809187325727906,2.3547678818762003,0.17528041320066423,0.5074098726376381
iat_min,0,0.0,0,0,0,271,36,0.0,16.71622586250305,0.0038269646499189025,0.2503520672199417,5.960464477539063e-06,8.106231689453123e-06
iat_max,0,0.0,0,0,0,5,3979,0.0,58.010231018066406,4.395881267941052,8.516334643936322,0.938489556312561,3.187637567520142
